,GEO_ID,tot_vap,white_alone_vap,any_part_black_vap,any_part_aian_vap,any_part_asian_vap,any_part_nhpi_vap,hispanic_latino_vap,not_hispanic_latino_vap,white_latino_vap,poc_latino_vap,any_part_poc_vap,multiracial_vap,total_housing_units,total_occupied_housing,total_vacant_housing,tot_pop,poc_aian_vap,any_part_black_latino_vap
0,1000000US170310101001000,116,80,26,0,7,0,3,113,0,3,36,3,84,69,15,128,0,0
1,1000000US170310101001001,49,17,21,2,4,0,7,42,0,7,32,2,29,23,6,71,2,0
2,1000000US170310101001002,43,35,3,0,5,0,0,43,0,0,8,0,25,22,3,45,0,0
3,1000000US170310101001003,261,97,94,9,7,0,65,196,0,65,164,11,174,153,21,335,6,4
4,1000000US170310101002000,108,32,61,4,3,0,11,97,0,11,76,7,84,62,22,152,2,1
5,1000000US170310101002001,28,0,26,0,0,0,2,26,0,2,28,0,26,24,2,45,0,0
6,1000000US170310101002002,240,13,209,1,3,1,16,224,0,16,227,6,165,156,9,363,1,3
7,1000000US170310101002003,36,26,5,0,4,0,2,34,0,2,10,2,26,23,3,42,0,0
8,1000000US170310101002004,120,60,45,2,0,0,16,104,0,16,60,2,107,79,28,154,1,1
9,1000000US170310101002005,95,16,75,1,0,0,6,89,0,6,79,1,74,58,16,151,0,2
10,1000000US170310101002006,146,12,119,2,7,1,7,139,0,7,134,5,95,86,9,193,2,0
11,1000000US170310101002007,86,9,71,0,0,0,5,81,0,5,77,0,45,45,0,143,0,0
12,1000000US170310101002008,207,59,125,8,3,0,20,187,0,20,148,11,133,126,7,274,6,2
13,1000000US170310101002009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
14,1000000US170310101002010,111,18,60,2,3,2,33,78,0,33,93,4,77,70,7,149,2,3
15,1000000US170310101002011,188,37,103,8,13,1,35,153,0,35,151,7,105,84,21,223,8,3
16,1000000US170310101002012,65,1,62,0,0,0,2,63,0,2,64,0,46,43,3,120,0,0
17,1000000US170310101002013,216,22,173,8,6,0,15,201,0,15,194,10,167,153,14,302,8,1
18,1000000US170310101003000,244,192,21,0,10,0,21,223,0,21,52,3,165,160,5,268,0,0
19,1000000US170310101003001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1000000US170310101003002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1000000US170310101003003,137,103,23,2,7,0,3,134,0,3,34,4,110,98,12,148,1,0
22,1000000US170310101003004,262,98,110,4,33,1,29,233,0,29,164,17,239,196,43,291,3,5
23,1000000US170310101003005,150,89,40,1,11,0,16,134,0,16,61,7,103,96,7,174,1,5
24,1000000US170310101003006,121,19,82,0,4,0,17,104,0,17,102,1,63,59,4,171,0,1
25,1000000US170310101003007,171,85,70,1,10,0,8,163,0,8,86,4,56,51,5,182,1,0
26,1000000US170310101003008,162,77,64,4,15,0,7,155,0,7,85,11,110,99,11,192,4,1
27,1000000US170310101003009,95,51,19,2,6,0,19,76,0,19,44,4,70,59,11,114,0,1
28,1000000US170310101003010,129,47,53,0,5,0,27,102,0,27,82,5,109,86,23,153,0,2
29,1000000US170310101003011,177,65,76,1,7,0,23,154,0,23,112,3,107,99,8,236,1,1
30,1000000US170310101003012,33,16,8,0,3,0,6,27,0,6,17,3,29,23,6,35,0,0
31,1000000US170310102011000,85,19,35,0,1,0,30,55,0,30,66,5,47,44,3,141,0,0
32,1000000US170310102011001,58,20,30,6,0,0,6,52,0,6,38,4,31,27,4,74,5,0
33,1000000US170310102011002,55,3,37,0,6,0,9,46,0,9,52,1,38,32,6,68,0,0
34,1000000US170310102011003,57,27,24,1,2,0,3,54,0,3,30,2,34,33,1,75,0,0
35,1000000US170310102011004,115,34,66,3,2,1,13,102,0,13,81,5,29,16,13,117,3,1
36,1000000US170310102011005,82,31,33,1,4,0,8,74,0,8,51,4,64,43,21,107,1,0
37,1000000US170310102011006,104,37,36,0,5,0,28,76,0,28,67,8,53,50,3,151,0,3
38,1000000US170310102011007,181,32,110,4,14,0,25,156,0,25,149,4,121,116,5,237,2,2
39,1000000US170310102011008,105,35,24,1,21,2,23,82,0,23,70,5,63,56,7,138,0,0
40,1000000US170310102011009,38,20,8,0,1,0,9,29,0,9,18,1,17,17,0,42,0,0
41,1000000US170310102011010,98,32,26,0,20,0,18,80,0,18,66,0,56,48,8,134,0,0
42,1000000US170310102011011,28,8,3,0,2,0,16,12,0,16,20,4,11,11,0,32,0,1
43,1000000US170310102011012,42,13,1,3,2,0,26,16,0,26,29,3,32,20,12,62,0,0
44,1000000US170310102011013,52,12,28,2,4,0,7,45,0,7,40,1,42,34,8,67,1,0
45,1000000US170310102012000,33,12,10,0,1,0,10,23,0,10,21,0,22,20,2,40,0,0
46,1000000US170310102012001,50,10,8,0,0,0,32,18,0,32,40,0,29,22,7,66,0,0
47,1000000US170310102012002,104,50,40,0,1,2,12,92,0,12,54,4,65,60,5,133,0,1
48,1000000US170310102012003,50,16,22,3,2,0,7,43,0,7,34,0,38,26,12,74,3,0
49,1000000US170310102012004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1000000US170310102012005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,1000000US170310102012006,10,0,5,0,0,0,5,5,0,5,10,0,4,3,1,19,0,0
52,1000000US170310102012007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1000000US170310102012008,87,14,45,3,4,0,23,64,0,23,73,5,53,46,7,111,1,1
54,1000000US170310102012009,71,17,50,0,0,0,5,66,0,5,54,1,66,45,21,86,0,1
55,1000000US170310102012010,22,12,6,0,4,0,0,22,0,0,10,4,13,12,1,36,0,0
56,1000000US170310102012011,28,5,20,0,0,0,3,25,0,3,23,0,17,15,2,45,0,0
57,1000000US170310102012012,64,31,16,3,5,0,11,53,0,11,33,2,53,44,9,76,2,0
58,1000000US170310102012013,34,8,10,0,2,1,15,19,0,15,26,2,20,18,2,36,0,1
59,1000000US170310102012014,78,31,33,1,3,0,11,67,0,11,47,4,50,46,4,88,0,1
60,1000000US170310102012015,260,8,41,4,4,1,210,50,0,210,252,12,110,101,9,413,4,3
61,1000000US170310102012016,55,20,22,1,7,0,5,50,0,5,35,2,35,29,6,82,0,0
62,1000000US170310102012017,101,23,65,0,5,0,5,96,0,5,78,3,57,54,3,127,0,1
63,1000000US170310102012018,47,8,23,0,0,0,17,30,0,17,39,1,34,24,10,77,0,1
64,1000000US170310102012019,30,15,13,0,0,0,2,28,0,2,15,0,29,24,5,35,0,0
65,1000000US170310102012020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,1000000US170310102012021,76,15,54,3,2,2,3,73,0,3,61,7,81,47,34,104,2,1
67,1000000US170310102012022,18,8,5,1,2,0,3,15,0,3,10,1,11,11,0,26,0,0
68,1000000US170310102012023,58,8,28,0,15,0,6,52,0,6,50,2,35,25,10,79,0,0
69,1000000US170310102012024,270,73,105,6,6,3,83,187,0,83,197,10,128,113,15,378,5,1
70,1000000US170310102012025,133,6,20,7,5,0,106,27,0,106,127,9,72,64,8,234,7,0
71,1000000US170310102012026,31,0,4,0,0,0,25,6,0,25,31,0,13,13,0,50,0,0
72,1000000US170310102012027,77,14,49,0,2,0,17,60,0,17,63,1,38,37,1,116,0,5
73,1000000US170310102012028,33,20,11,1,0,0,2,31,0,2,13,1,18,17,1,35,1,0
74,1000000US170310102012029,14,6,6,0,0,0,2,12,0,2,8,0,7,7,0,15,0,0
75,1000000US170310102012030,131,29,67,0,9,1,25,106,0,25,102,1,87,75,12,175,0,1
76,1000000US170310102012031,63,22,33,1,3,0,2,61,0,2,41,4,35,33,2,82,0,0
77,1000000US170310102012032,64,36,15,0,8,0,5,59,0,5,28,0,49,42,7,71,0,0
78,1000000US170310102012033,67,41,19,1,8,0,1,66,0,1,26,6,67,46,21,80,1,0
79,1000000US170310102012034,84,43,28,1,3,0,10,74,0,10,41,0,57,46,11,105,1,0
80,1000000US170310102012035,69,18,43,2,3,0,8,61,0,8,51,4,59,40,19,105,2,3
81,1000000US170310102012036,152,25,82,10,17,1,23,129,0,23,127,8,89,80,9,210,7,1
82,1000000US170310102012037,32,2,0,0,0,0,30,2,0,30,30,0,14,13,1,56,0,0
83,1000000US170310102012038,92,21,35,2,10,4,30,62,0,30,71,7,53,47,6,135,1,0
84,1000000US170310102012039,22,9,8,0,3,0,2,20,0,2,13,1,13,13,0,26,0,0
85,1000000US170310102012040,178,51,67,4,21,1,38,140,0,38,127,3,134,95,39,246,4,2
86,1000000US170310102013000,116,38,57,8,1,0,22,94,0,22,78,7,88,75,13,155,6,2
87,1000000US170310102013001,48,13,24,0,2,0,11,37,0,11,35,1,45,36,9,51,0,2
88,1000000US170310102013002,36,6,1,0,8,0,21,15,0,21,30,0,17,12,5,52,0,0
89,1000000US170310102013003,70,31,12,0,9,0,19,51,0,19,39,1,45,37,8,88,0,1
90,1000000US170310102013004,120,62,14,1,12,0,32,88,0,32,58,3,77,66,11,157,1,0
91,1000000US170310102013005,146,64,12,0,6,0,64,82,0,64,82,7,83,75,8,183,0,0
92,1000000US170310102013006,9,1,0,0,2,0,6,3,0,6,8,1,2,2,0,10,0,0
93,1000000US170310102013007,40,26,13,0,0,0,3,37,0,3,14,2,27,27,0,57,0,2
94,1000000US170310102013008,50,20,5,0,5,0,20,30,0,20,30,0,32,28,4,69,0,0
95,1000000US170310102013009,20,0,5,0,0,0,15,5,0,15,20,0,15,9,6,28,0,0
96,1000000US170310102013010,82,21,30,2,3,0,26,56,0,26,61,2,43,37,6,112,0,0
97,1000000US170310102013011,121,37,37,2,10,0,39,82,0,39,84,1,74,59,15,171,2,2
98,1000000US170310102021000,49,3,45,2,0,0,1,48,0,1,46,4,39,33,6,61,1,1
99,1000000US170310102021001,190,44,123,4,13,4,17,173,0,17,146,9,152,141,11,194,1,4
100,1000000US170310102021002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1000000US170310102021003,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
102,1000000US170310102021004,362,152,113,3,5,0,93,269,0,93,210,11,72,67,5,406,1,2
103,1000000US170310102021005,125,27,12,2,7,0,77,48,0,77,98,1,47,45,2,174,1,1
104,1000000US170310102021006,12,4,4,1,0,0,4,8,0,4,8,1,9,9,0,16,0,0
105,1000000US170310102021007,95,32,44,1,4,0,16,79,0,16,63,3,71,62,9,127,0,0
106,1000000US170310102021008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,1000000US170310102021009,113,64,27,4,4,1,14,99,0,14,49,5,85,80,5,132,2,1
108,1000000US170310102021010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,1000000US170310102021011,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,5,0,0
110,1000000US170310102021012,98,39,14,1,4,0,41,57,0,41,59,1,55,54,1,130,0,0
111,1000000US170310102021013,19,7,3,0,0,0,8,11,0,8,12,3,18,16,2,20,0,0
112,1000000US170310102022000,24,15,9,0,0,0,0,24,0,0,9,0,16,14,2,33,0,0
