,ward,precinct,tot_votes,eman_votes,garcia_votes,eman_pct,garcia_pct
0,1,1,259,93,166,0.3590733590733591,0.640926640926641
1,1,2,254,75,179,0.2952755905511811,0.7047244094488189
2,1,3,269,149,120,0.5539033457249071,0.44609665427509293
3,1,4,277,145,132,0.5234657039711191,0.47653429602888087
4,1,5,217,144,73,0.663594470046083,0.33640552995391704
5,1,6,290,144,146,0.496551724137931,0.503448275862069
6,1,7,186,79,107,0.42473118279569894,0.5752688172043011
7,1,8,269,158,111,0.587360594795539,0.41263940520446096
8,1,9,264,106,158,0.4015151515151515,0.5984848484848485
9,1,10,226,138,88,0.6106194690265486,0.3893805309734513
10,1,11,253,149,104,0.5889328063241107,0.41106719367588934
11,1,12,300,139,161,0.4633333333333333,0.5366666666666666
12,1,13,121,40,81,0.3305785123966942,0.6694214876033058
13,1,14,270,147,123,0.5444444444444444,0.45555555555555555
14,1,15,256,85,171,0.33203125,0.66796875
15,1,16,228,64,164,0.2807017543859649,0.7192982456140351
16,1,17,251,83,168,0.33067729083665337,0.6693227091633466
17,1,18,289,104,185,0.35986159169550175,0.6401384083044983
18,1,19,388,126,262,0.3247422680412371,0.6752577319587629
19,1,20,238,72,166,0.3025210084033613,0.6974789915966386
20,1,21,232,154,78,0.6637931034482759,0.33620689655172414
21,1,22,167,68,99,0.40718562874251496,0.592814371257485
22,1,23,395,155,240,0.3924050632911392,0.6075949367088608
23,1,24,200,55,145,0.275,0.725
24,1,25,201,77,124,0.38308457711442784,0.6169154228855721
25,1,26,198,39,159,0.19696969696969696,0.803030303030303
26,1,27,247,118,129,0.4777327935222672,0.5222672064777328
27,1,28,133,51,82,0.38345864661654133,0.6165413533834586
28,1,29,257,139,118,0.5408560311284046,0.4591439688715953
29,1,30,310,83,227,0.267741935483871,0.7322580645161291
30,1,31,279,123,156,0.44086021505376344,0.5591397849462365
31,1,32,264,138,126,0.5227272727272727,0.4772727272727273
32,1,33,282,140,142,0.49645390070921985,0.5035460992907801
33,1,34,235,86,149,0.3659574468085106,0.6340425531914894
34,1,35,299,145,154,0.48494983277591974,0.5150501672240803
35,1,36,232,150,82,0.646551724137931,0.35344827586206895
36,1,37,241,132,109,0.5477178423236515,0.45228215767634855
37,1,38,271,109,162,0.4022140221402214,0.5977859778597786
38,1,39,236,107,129,0.4533898305084746,0.5466101694915254
39,1,40,281,165,116,0.5871886120996441,0.4128113879003559
40,1,41,192,72,120,0.375,0.625
41,1,42,91,29,62,0.31868131868131866,0.6813186813186813
42,1,43,183,86,97,0.46994535519125685,0.5300546448087432
43,1,44,196,87,109,0.44387755102040816,0.5561224489795918
44,2,1,251,137,114,0.545816733067729,0.4541832669322709
45,2,2,344,299,45,0.8691860465116279,0.1308139534883721
46,2,3,276,176,100,0.6376811594202898,0.36231884057971014
47,2,4,268,141,127,0.5261194029850746,0.47388059701492535
48,2,5,313,168,145,0.536741214057508,0.46325878594249204
49,2,6,269,132,137,0.49070631970260226,0.5092936802973977
50,2,7,282,170,112,0.6028368794326241,0.3971631205673759
51,2,8,287,148,139,0.5156794425087108,0.4843205574912892
52,2,9,271,229,42,0.8450184501845018,0.15498154981549817
53,2,10,369,334,35,0.9051490514905149,0.0948509485094851
54,2,11,377,344,33,0.9124668435013262,0.08753315649867374
55,2,12,336,258,78,0.7678571428571429,0.23214285714285715
56,2,13,398,336,62,0.8442211055276382,0.15577889447236182
57,2,14,343,172,171,0.5014577259475219,0.49854227405247814
58,2,15,276,174,102,0.6304347826086957,0.3695652173913043
59,2,16,219,148,71,0.6757990867579908,0.3242009132420091
60,2,17,351,218,133,0.6210826210826211,0.3789173789173789
61,2,18,289,246,43,0.8512110726643599,0.14878892733564014
62,2,19,305,274,31,0.898360655737705,0.10163934426229508
63,2,20,271,234,37,0.8634686346863468,0.13653136531365315
64,2,21,315,186,129,0.5904761904761905,0.4095238095238095
65,2,22,379,319,60,0.841688654353562,0.158311345646438
66,2,23,337,310,27,0.9198813056379822,0.08011869436201781
67,2,24,296,252,44,0.8513513513513513,0.14864864864864866
68,2,25,268,186,82,0.6940298507462687,0.30597014925373134
69,2,26,246,190,56,0.7723577235772358,0.22764227642276422
70,2,27,299,256,43,0.8561872909698997,0.14381270903010032
71,2,28,344,273,71,0.7936046511627907,0.2063953488372093
72,2,29,292,248,44,0.8493150684931506,0.1506849315068493
73,2,30,293,238,55,0.8122866894197952,0.18771331058020477
74,2,31,484,425,59,0.878099173553719,0.12190082644628099
75,2,32,235,193,42,0.8212765957446808,0.17872340425531916
76,2,33,532,446,86,0.8383458646616542,0.16165413533834586
77,2,34,343,309,34,0.9008746355685131,0.09912536443148688
78,2,35,281,237,44,0.8434163701067615,0.15658362989323843
79,2,36,278,228,50,0.8201438848920863,0.17985611510791366
80,2,37,363,282,81,0.7768595041322314,0.2231404958677686
81,2,38,376,322,54,0.8563829787234043,0.14361702127659576
82,2,39,251,207,44,0.8247011952191236,0.1752988047808765
